model,split,n,accuracy,balanced_accuracy,f1_macro,f1_weighted,f1_class0,f1_class1,roc_auc,pr_auc,ablation_config,n_features,features_used
RandomForest,test,492,0.6829,0.6416,0.6444,0.6701,0.7615,0.5273,0.6992,0.6423,A_all,9,"['ph', 'Hardness', 'Solids', 'Chloramines', 'Sulfate', 'Conductivity', 'Organic_carbon', 'Trihalomethanes', 'Turbidity']"
RandomForest,test,492,0.6789,0.6485,0.6514,0.6729,0.7492,0.5537,0.6881,0.6345,B_top7,7,"['ph', 'Hardness', 'Solids', 'Chloramines', 'Sulfate', 'Conductivity', 'Organic_carbon']"
RandomForest,test,492,0.6585,0.6272,0.6294,0.6522,0.7333,0.5254,0.6818,0.6312,C_top5,5,"['ph', 'Hardness', 'Solids', 'Chloramines', 'Sulfate']"
RandomForest,test,492,0.5813,0.5639,0.5633,0.5827,0.652,0.4745,0.5908,0.4751,D_top3,3,"['ph', 'Hardness', 'Solids']"
RandomForest,test,492,0.4695,0.445,0.4452,0.4707,0.5613,0.329,0.4458,0.3515,E_lowcost,2,"['Turbidity', 'Conductivity']"
XGBoost,test,492,0.6565,0.6302,0.632,0.6528,0.727,0.537,0.6882,0.6326,A_all,9,"['ph', 'Hardness', 'Solids', 'Chloramines', 'Sulfate', 'Conductivity', 'Organic_carbon', 'Trihalomethanes', 'Turbidity']"
XGBoost,test,492,0.6524,0.6297,0.6308,0.6504,0.7201,0.5416,0.7006,0.6473,B_top7,7,"['ph', 'Hardness', 'Solids', 'Chloramines', 'Sulfate', 'Conductivity', 'Organic_carbon']"
XGBoost,test,492,0.6463,0.6275,0.6277,0.646,0.711,0.5445,0.697,0.6484,C_top5,5,"['ph', 'Hardness', 'Solids', 'Chloramines', 'Sulfate']"
XGBoost,test,492,0.5589,0.5446,0.5433,0.5619,0.6278,0.4589,0.5913,0.4789,D_top3,3,"['ph', 'Hardness', 'Solids']"
XGBoost,test,492,0.4614,0.4402,0.4405,0.4642,0.5486,0.3325,0.4315,0.3443,E_lowcost,2,"['Turbidity', 'Conductivity']"
LogisticRegression,test,492,0.5183,0.5141,0.5097,0.524,0.5745,0.445,0.5074,0.4463,A_all,9,"['ph', 'Hardness', 'Solids', 'Chloramines', 'Sulfate', 'Conductivity', 'Organic_carbon', 'Trihalomethanes', 'Turbidity']"
LogisticRegression,test,492,0.5163,0.518,0.5108,0.5221,0.5625,0.4591,0.5131,0.4575,B_top7,7,"['ph', 'Hardness', 'Solids', 'Chloramines', 'Sulfate', 'Conductivity', 'Organic_carbon']"
LogisticRegression,test,492,0.5102,0.5111,0.5044,0.5161,0.5578,0.451,0.5127,0.445,C_top5,5,"['ph', 'Hardness', 'Solids', 'Chloramines', 'Sulfate']"
LogisticRegression,test,492,0.5041,0.5015,0.4966,0.5101,0.558,0.4352,0.4953,0.4038,D_top3,3,"['ph', 'Hardness', 'Solids']"
LogisticRegression,test,492,0.4959,0.4835,0.4822,0.5007,0.5664,0.3981,0.4584,0.3785,E_lowcost,2,"['Turbidity', 'Conductivity']"
SVM,test,492,0.622,0.6047,0.6043,0.6226,0.6879,0.5206,0.6534,0.5777,A_all,9,"['ph', 'Hardness', 'Solids', 'Chloramines', 'Sulfate', 'Conductivity', 'Organic_carbon', 'Trihalomethanes', 'Turbidity']"
SVM,test,492,0.6545,0.6389,0.6383,0.6551,0.7148,0.5619,0.6838,0.6157,B_top7,7,"['ph', 'Hardness', 'Solids', 'Chloramines', 'Sulfate', 'Conductivity', 'Organic_carbon']"
SVM,test,492,0.6626,0.6408,0.642,0.6609,0.7279,0.5561,0.6853,0.62,C_top5,5,"['ph', 'Hardness', 'Solids', 'Chloramines', 'Sulfate']"
SVM,test,492,0.5711,0.5602,0.5579,0.5747,0.6343,0.4816,0.5925,0.5042,D_top3,3,"['ph', 'Hardness', 'Solids']"
SVM,test,492,0.5386,0.4979,0.4947,0.5274,0.6436,0.3458,0.5264,0.411,E_lowcost,2,"['Turbidity', 'Conductivity']"
