model,rank,feature,mean_abs_shap
LogisticRegression,1,Solids,0.0095441170597645
LogisticRegression,2,ph,0.008908637264183
LogisticRegression,3,Chloramines,0.0049974653416606
LogisticRegression,4,Organic_carbon,0.0049761681215584
LogisticRegression,5,Conductivity,0.0047693863631501
LogisticRegression,6,Turbidity,0.0027802420336035
LogisticRegression,7,Hardness,0.002685491727316
LogisticRegression,8,Trihalomethanes,0.0023598998776601
LogisticRegression,9,Sulfate,0.0018945931037245
MLP,1,Sulfate,0.0447666075480381
MLP,2,ph,0.036256138894601
MLP,3,Hardness,0.0269880576952893
MLP,4,Solids,0.0268356076337613
MLP,5,Chloramines,0.0206961202307305
MLP,6,Trihalomethanes,0.0104923903130166
MLP,7,Conductivity,0.0099599688289125
MLP,8,Turbidity,0.0068630334636333
MLP,9,Organic_carbon,0.0054698992768501
SVM,1,Sulfate,0.0406483846948985
SVM,2,ph,0.0331613085467244
SVM,3,Hardness,0.0275213291453522
SVM,4,Solids,0.0253610413336325
SVM,5,Chloramines,0.0244059606880625
SVM,6,Conductivity,0.0203975168214735
SVM,7,Trihalomethanes,0.01979979038075
SVM,8,Turbidity,0.0133573436417651
SVM,9,Organic_carbon,0.013199769248639
