model,ablation_config,n_features,accuracy,f1_macro,roc_auc,pr_auc
LogisticRegression,E_lowcost,2,0.4959,0.4822,0.4584,0.3785
LogisticRegression,D_top3,3,0.5041,0.4966,0.4953,0.4038
LogisticRegression,C_top5,5,0.5102,0.5044,0.5127,0.445
LogisticRegression,B_top7,7,0.5163,0.5108,0.5131,0.4575
LogisticRegression,A_all,9,0.5183,0.5097,0.5074,0.4463
RandomForest,E_lowcost,2,0.4695,0.4452,0.4458,0.3515
RandomForest,D_top3,3,0.5813,0.5633,0.5908,0.4751
RandomForest,C_top5,5,0.6585,0.6294,0.6818,0.6312
RandomForest,B_top7,7,0.6789,0.6514,0.6881,0.6345
RandomForest,A_all,9,0.6829,0.6444,0.6992,0.6423
SVM,E_lowcost,2,0.5386,0.4947,0.5264,0.411
SVM,D_top3,3,0.5711,0.5579,0.5925,0.5042
SVM,C_top5,5,0.6626,0.642,0.6853,0.62
SVM,B_top7,7,0.6545,0.6383,0.6838,0.6157
SVM,A_all,9,0.622,0.6043,0.6534,0.5777
XGBoost,E_lowcost,2,0.4614,0.4405,0.4315,0.3443
XGBoost,D_top3,3,0.5589,0.5433,0.5913,0.4789
XGBoost,C_top5,5,0.6463,0.6277,0.697,0.6484
XGBoost,B_top7,7,0.6524,0.6308,0.7006,0.6473
XGBoost,A_all,9,0.6565,0.632,0.6882,0.6326
