model,noise_pct,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std
RandomForest,0%,0.6444,0.0,0.6992,0.0
RandomForest,2%,0.6486,0.0071,0.698,0.0023
RandomForest,5%,0.6552,0.0069,0.6969,0.0032
RandomForest,10%,0.6576,0.0079,0.6981,0.0023
RandomForest,15%,0.6494,0.0069,0.6938,0.0034
XGBoost,0%,0.632,0.0,0.6882,0.0
XGBoost,2%,0.635,0.0076,0.6892,0.0021
XGBoost,5%,0.6338,0.0057,0.6906,0.005
XGBoost,10%,0.6352,0.0037,0.6909,0.0037
XGBoost,15%,0.639,0.0056,0.6905,0.0051
LogisticRegression,0%,0.5097,0.0,0.5074,0.0
LogisticRegression,2%,0.5117,0.0012,0.5071,0.0003
LogisticRegression,5%,0.5092,0.0042,0.5071,0.0008
LogisticRegression,10%,0.5056,0.0047,0.5069,0.0015
LogisticRegression,15%,0.5022,0.0049,0.5063,0.0021
SVM,0%,0.6043,0.0,0.6534,0.0
SVM,2%,0.6009,0.0019,0.6527,0.0008
SVM,5%,0.6016,0.0049,0.652,0.0016
SVM,10%,0.5996,0.0041,0.6503,0.0035
SVM,15%,0.598,0.0063,0.6483,0.0057
